value,Warcry,Tauforged Blue Armor,Tauforged Red Strength,Stand United,Blind Rage,Umbral Intensify,Umbral Vitality,Umbral Fiber,
1402.875,true,2,3,false,false,false,true,true,
1405.8,true,3,1,true,true,false,false,false,
1405.8,true,3,1,true,true,false,true,false,
1409.4,true,1,1,false,false,true,true,true,
1410.75,true,2,0,true,false,false,true,true,
1410.75,false,2,3,true,false,true,true,true,
1410.75,false,2,2,true,false,true,true,true,
1410.75,false,2,1,true,false,true,true,true,
1410.75,false,2,0,true,false,true,true,true,
1410.75,false,2,3,true,true,true,true,true,
1410.75,false,2,2,true,true,true,true,true,
1410.75,false,2,1,true,true,true,true,true,
1410.75,false,2,0,true,true,true,true,true,
1411.2,true,0,4,false,true,true,true,true,
1412.55,true,1,3,true,true,false,true,true,
1413.675,true,3,1,false,true,true,true,false,
1417.05,true,2,1,false,true,false,false,true,
1418.625,true,2,0,false,false,true,false,true,
1419.075,true,0,1,true,true,true,true,true,
1419.975,true,3,2,false,true,true,false,false,
1420.425,true,1,3,false,true,true,false,true,
1428.3,true,1,0,true,true,true,false,true,
1429.425,true,3,2,true,true,false,false,false,
1429.425,true,3,2,true,true,false,true,false,
1433.025,true,1,2,false,false,true,true,true,
1434.375,true,2,1,true,false,false,true,true,
1434.825,true,0,5,false,true,true,true,true,
1436.175,true,1,4,true,true,false,true,true,
1437.3,true,3,2,false,true,true,true,false,
1440,false,5,0,false,false,false,false,false,
1440,false,5,0,false,true,false,false,false,
1440,false,5,0,false,false,true,false,false,
1440,false,5,0,false,true,true,false,false,
1440,false,5,0,false,false,false,true,false,
1440,false,5,0,false,true,false,true,false,
1440,false,5,0,false,false,true,true,false,
1440,false,5,0,false,true,true,true,false,
1440.675,true,2,2,false,true,false,false,true,
1441.8,true,4,0,false,false,true,false,false,
1442.25,true,2,1,false,false,true,false,true,
1442.7,true,0,2,true,true,true,true,true,
1444.05,true,1,4,false,true,true,false,true,
1451.25,true,4,0,true,false,false,false,false,
1451.25,true,4,0,true,false,false,true,false,
1451.475,true,3,0,true,true,true,false,false,
1451.925,true,1,1,true,true,true,false,true,
1456.65,true,1,3,false,false,true,true,true,
1458,true,2,2,true,false,false,true,true,
1459.125,true,4,0,false,false,true,true,false,
1462.5,true,3,0,false,false,false,false,true,
1464.3,true,2,3,false,true,false,false,true,
1464.525,true,1,0,true,false,true,true,true,
1465.425,true,4,1,false,false,true,false,false,
1465.875,true,2,2,false,false,true,false,true,
1466.325,true,0,3,true,true,true,true,true,
1468.8,true,3,0,true,true,true,true,false,
1472.175,true,2,0,true,true,false,false,true,
1474.875,true,4,1,true,false,false,false,false,
1474.875,true,4,1,true,false,false,true,false,
1475.1,true,3,1,true,true,true,false,false,
1475.55,true,1,2,true,true,true,false,true,
1478.25,false,3,2,true,false,true,false,true,
1478.25,false,3,1,true,false,true,false,true,
1478.25,false,3,0,true,false,true,false,true,
1478.25,false,3,2,true,true,true,false,true,
1478.25,false,3,1,true,true,true,false,true,
1478.25,false,3,0,true,true,true,false,true,
1478.25,false,3,2,true,false,false,true,true,
1478.25,false,3,1,true,false,false,true,true,
1478.25,false,3,0,true,false,false,true,true,
1478.25,false,3,2,true,true,false,true,true,
1478.25,false,3,1,true,true,false,true,true,
1478.25,false,3,0,true,true,false,true,true,
1480.275,true,1,4,false,false,true,true,true,
1481.625,true,2,3,true,false,false,true,true,
1482.75,true,4,1,false,false,true,true,false,
1486.125,true,3,1,false,false,false,false,true,
1487.925,true,2,0,false,true,false,true,true,
1488.15,true,1,1,true,false,true,true,true,
1489.5,true,2,3,false,false,true,false,true,
1489.95,true,0,4,true,true,true,true,true,
1492.425,true,3,1,true,true,true,true,false,
1495.8,true,2,1,true,true,false,false,true,
1497.375,true,2,0,true,false,true,false,true,
1498.725,true,3,2,true,true,true,false,false,
1499.175,true,1,3,true,true,true,false,true,
1509.75,true,3,2,false,false,false,false,true,
1511.55,true,2,1,false,true,false,true,true,
1511.775,true,1,2,true,false,true,true,true,
1513.575,true,0,5,true,true,true,true,true,
1516.05,true,3,2,true,true,true,true,false,
1518.75,false,5,0,true,false,false,false,false,
1518.75,false,5,0,true,true,false,false,false,
1518.75,false,5,0,true,false,true,false,false,
1518.75,false,5,0,true,true,true,false,false,
1518.75,false,5,0,true,false,false,true,false,
1518.75,false,5,0,true,true,false,true,false,
1518.75,false,5,0,true,false,true,true,false,
1518.75,false,5,0,true,true,true,true,false,
1519.425,true,2,2,true,true,false,false,true,
1520.55,true,4,0,true,false,true,false,false,
1521,true,2,1,true,false,true,false,true,
1522.8,true,1,4,true,true,true,false,true,
1528.425,true,4,0,false,true,false,false,false,
1528.425,true,4,0,false,true,false,true,false,
1530,false,4,1,false,false,false,false,true,
1530,false,4,0,false,false,false,false,true,
1530,false,4,1,false,true,false,false,true,
1530,false,4,0,false,true,false,false,true,
1535.175,true,2,2,false,true,false,true,true,
1535.4,true,1,3,true,false,true,true,true,
1537.875,true,4,0,true,false,true,true,false,
1541.25,true,3,0,true,false,false,false,true,
1541.7,true,1,0,false,true,true,true,true,
1543.05,true,2,3,true,true,false,false,true,
1544.175,true,4,1,true,false,true,false,false,
1544.625,true,2,2,true,false,true,false,true,
1552.05,true,4,1,false,true,false,false,false,
1552.05,true,4,1,false,true,false,true,false,
1557,true,3,0,false,false,false,true,true,
1557,false,3,2,false,false,true,true,true,
1557,false,3,1,false,false,true,true,true,
1557,false,3,0,false,false,true,true,true,
1557,false,3,2,false,true,true,true,true,
1557,false,3,1,false,true,true,true,true,
1557,false,3,0,false,true,true,true,true,
1558.8,true,2,3,false,true,false,true,true,
1559.025,true,1,4,true,false,true,true,true,
1561.5,true,4,1,true,false,true,true,false,
1564.875,true,3,1,true,false,false,false,true,
1565.325,true,1,1,false,true,true,true,true,
1566.675,true,2,0,true,true,false,true,true,
1568.25,true,2,3,true,false,true,false,true,
1574.55,true,2,0,false,true,true,false,true,
1580.625,true,3,1,false,false,false,true,true,
1588.5,true,3,2,true,false,false,false,true,
1588.95,true,1,2,false,true,true,true,true,
1590.3,true,2,1,true,true,false,true,true,
1597.5,true,5,0,false,false,false,false,false,
1597.5,true,5,0,false,false,false,true,false,
1597.725,true,4,0,false,true,true,false,false,
1598.175,true,2,1,false,true,true,false,true,
1604.25,true,3,2,false,false,false,true,true,
1607.175,true,4,0,true,true,false,false,false,
1607.175,true,4,0,true,true,false,true,false,
1608.75,false,4,1,true,false,false,false,true,
1608.75,false,4,0,true,false,false,false,true,
1608.75,false,4,1,true,true,false,false,true,
1608.75,false,4,0,true,true,false,false,true,
1610.775,true,2,0,false,false,true,true,true,
1612.575,true,1,3,false,true,true,true,true,
1613.925,true,2,2,true,true,false,true,true,
1615.05,true,4,0,false,true,true,true,false,
1618.425,true,3,0,false,true,false,false,true,
1620.45,true,1,0,true,true,true,true,true,
1621.35,true,4,1,false,true,true,false,false,
1621.8,true,2,2,false,true,true,false,true,
1624.5,false,4,1,false,false,true,false,true,
1624.5,false,4,0,false,false,true,false,true,
1624.5,false,4,1,false,true,true,false,true,
